family	anthropogenic	aquatic	human gut	mammal gut	other	other animal	other human	soil/plant
GMSC10.90AA.000_287_924_202	0.01813431688950361	0.014140793114048571	3.0367446097783173e-05	0.0008448324415657562	0.011519078473722102	0.01373283395755306	0.002006688963210702	0.08263876573860614
GMSC10.90AA.000_287_926_092	0.0067619486706623644	0.00046111281893636643	0.03859702399028242	0.2289495916643199	0.002879769618430525	0.11610486891385767	0.012263099219620958	0.0005320092214931725
GMSC10.90AA.000_287_926_530	0.0623943445520209	0.06132800491853674	0.0005162465836623138	0.0064770487186707965	0.01583873290136789	0.016229712858926344	0.00914158305462653	0.12112076609327894
GMSC10.90AA.000_287_926_744	0.01521438450899032	0.0013833384568090992	0.07102945642271485	0.27034638130104194	0.0007199424046076314	0.17145235122763214	0.01828316610925306	0.001241354850150736
GMSC10.90AA.000_287_926_804	0.10481020439526664	0.1469412849677221	0.0006377163680534467	0.004505773021684032	0.046076313894888414	0.016645859342488557	0.02497212931995541	0.12165277531477213
GMSC10.90AA.000_287_926_822	0.06070385738435531	0.1263449123885644	0.00012146978439113272	0.004505773021684032	0.017278617710583154	0.00749063670411985	0.005351170568561873	0.17396701542826742
GMSC10.90AA.000_287_926_824	0.03534654986937145	0.009990777743621271	0.1429395687822654	0.5398479301605181	0.005759539236861051	0.19933416562630046	0.001560758082497213	0.01259088490867175
GMSC10.90AA.000_287_926_836	0.011372368218841248	0.000768521364893944	0.2818098997874279	0.23401858631371444	0.0007199424046076314	0.26841448189762795	0.0024526198439241923	0.0014186912573151268
GMSC10.90AA.000_287_926_841	0.05593975718457046	0.07239471257300953	0.00018220467658669907	0.000563221627710504	0.018718502519798414	0.014565126924677487	0.001560758082497213	0.3385352012768221
GMSC10.90AA.000_287_926_849	0.023052097740894426	0.00030740854595757766	0.426055268751898	0.7212052942833005	0.0007199424046076314	0.3449854348730753	0.00044593088071348937	0.0005320092214931725
GMSC10.90AA.000_287_926_856	0.016136468418626097	0.00030740854595757766	0.2296082599453386	0.4578991833286398	0.0014398848092152627	0.19434040782355388	0.00044593088071348937	0.001241354850150736
GMSC10.90AA.000_287_926_862	0.04287690179806362	0.000768521364893944	0.3139690252049803	0.4319909884539566	0.0007199424046076314	0.2184769038701623	0.0294314381270903	0.0014186912573151268
GMSC10.90AA.000_287_926_864	0.05624711848778239	0.003074085459575776	0.7124810203461889	0.8070965925091523	0.0014398848092152627	0.3745318352059925	0.008918617614269788	0.002482709700301472
GMSC10.90AA.000_287_926_867	0.0714615029967727	0.3834921610820781	3.0367446097783173e-05	0.0008448324415657562	0.04679625629949604	0.014148980441115271	0.006020066889632107	0.2090796240468168
GMSC10.90AA.000_287_926_868	0.05640079913938835	0.001537042729787888	0.6553598542362588	0.8096310898338496	0.0050395968322534184	0.3732833957553059	0.001560758082497213	0.005674765029260507
