cdd	bg_count	bg_percentage
gnl|CDD|197775	577567	0.010270588932786784
gnl|CDD|238045	545668	0.00970334475788246
gnl|CDD|396104	528031	0.009389714690708331
gnl|CDD|100119	357456	0.006356463644145585
gnl|CDD|432748	353008	0.006277367055225103
gnl|CDD|400535	350695	0.006236236117686193
gnl|CDD|427999	342291	0.006086791933044168
gnl|CDD|403907	318144	0.005657397748542626
gnl|CDD|433211	300370	0.005341331477977735
gnl|CDD|197715	265161	0.0047152272065521
gnl|CDD|99777	264038	0.004695257451750459
gnl|CDD|425517	257341	0.0045761680057071884
gnl|CDD|200128	247185	0.004395568869673823
gnl|CDD|433309	231065	0.0041089148648630865
gnl|CDD|225360	212818	0.003784437468722794
gnl|CDD|224393	180820	0.0032154328256747814
gnl|CDD|223314	162450	0.002888768181234754
gnl|CDD|427077	159522	0.002836701002197171
gnl|CDD|214866	148374	0.0026384616197139142
gnl|CDD|198034	147115	0.0026160734440280136
gnl|CDD|425712	143616	0.002553852453777842
gnl|CDD|425497	138807	0.0024683363800101724
gnl|CDD|425746	137566	0.002446268289441306
gnl|CDD|213767	133882	0.0023807575354882816
gnl|CDD|396932	127699	0.002270808297786992
gnl|CDD|278729	126027	0.002241075946915804
gnl|CDD|397909	125496	0.0022316334359632913
gnl|CDD|432527	125002	0.0022228488777513494
gnl|CDD|214633	122462	0.002177681311236506
gnl|CDD|169931	116127	0.002065029132546927
gnl|CDD|239905	114022	0.002027596956360413
gnl|CDD|170841	111891	0.0019897024350048497
gnl|CDD|340560	111655	0.0019855057634704
gnl|CDD|77467	110247	0.0019604679943157153
gnl|CDD|224197	110176	0.00195920543635408
gnl|CDD|133390	108038	0.0019211864374530031
gnl|CDD|226181	105970	0.00188441221400706
gnl|CDD|182402	105695	0.0018795220247190354
gnl|CDD|213536	103544	0.001841271853233434
gnl|CDD|398610	102079	0.0018152204812081406
gnl|CDD|432818	101150	0.0017987005326678693
gnl|CDD|273688	99501	0.001769377179446225
gnl|CDD|179197	99128	0.0017627443045210138
gnl|CDD|425532	95390	0.0016962732952168862
gnl|CDD|275036	94857	0.00168679521925137
gnl|CDD|259852	94564	0.0016815849448463113
gnl|CDD|294013	94337	0.0016775483158703785
gnl|CDD|259854	94177	0.0016747031148300734
gnl|CDD|197709	92906	0.00165210154906615
gnl|CDD|184960	92789	0.0016500209958054267
gnl|CDD|239274	92729	0.0016489540454153124
gnl|CDD|259853	92702	0.0016484739177397608
gnl|CDD|425695	92031	0.0016365418558769815
gnl|CDD|77494	91544	0.001627881775210553
gnl|CDD|259859	91497	0.0016270459974049632
gnl|CDD|259858	91461	0.0016264058271708945
gnl|CDD|185360	91357	0.0016245564464946963
gnl|CDD|259857	90850	0.0016155407156982296
gnl|CDD|425756	88746	0.0015781263220182177
gnl|CDD|197666	88426	0.0015724359199376075
gnl|CDD|273625	88152	0.0015675635131560852
gnl|CDD|223847	87206	0.0015507412620052814
gnl|CDD|432823	87171	0.0015501188742777145
gnl|CDD|340394	86068	0.0015305047696061115
gnl|CDD|170612	85130	0.0015138247785073228
gnl|CDD|177047	82789	0.0014721959307863592
gnl|CDD|153139	79854	0.0014200042742032628
gnl|CDD|138142	79688	0.0014170523781239462
gnl|CDD|426868	79277	0.0014097437679516625
gnl|CDD|436869	77753	0.0013826432280427568
gnl|CDD|425893	77559	0.0013791934217813869
gnl|CDD|224888	77017	0.0013695553032573532
gnl|CDD|429740	76835	0.0013663188870740063
gnl|CDD|427822	76737	0.0013645762014368194
gnl|CDD|238219	75630	0.0013448909667392087
gnl|CDD|183533	75519	0.001342917108517497
gnl|CDD|224069	75092	0.0013353239782411827
gnl|CDD|226366	74893	0.0013317852594473033
gnl|CDD|178925	74326	0.0013217025782607222
gnl|CDD|272854	74100	0.0013176837317912912
gnl|CDD|198396	73717	0.001310873031801061
gnl|CDD|426308	73562	0.0013081167432932655
gnl|CDD|426314	73518	0.0013073343130071814
gnl|CDD|409021	73112	0.0013001146153674074
gnl|CDD|426872	72799	0.0012945486908323106
gnl|CDD|238243	72723	0.0012931972203381657
gnl|CDD|225328	72645	0.001291810184831017
gnl|CDD|273536	71784	0.0012764994467328753
gnl|CDD|223767	71513	0.0012716803874708584
gnl|CDD|197713	71325	0.0012683372762485
gnl|CDD|426468	71109	0.001264496254844088
gnl|CDD|197648	70960	0.001261846661375304
gnl|CDD|178961	70738	0.0012578989449318807
gnl|CDD|198403	70455	0.001252866495591841
gnl|CDD|340452	68252	0.0012136916337681404
gnl|CDD|133459	68140	0.0012116999930399269
gnl|CDD|273758	68115	0.0012112554303773792
gnl|CDD|214643	67670	0.0012033422149840308
gnl|CDD|223333	67372	0.0011980430280464625
gnl|CDD|130060	67265	0.0011961402998507586
gnl|CDD|429713	67214	0.0011952333920191612
gnl|CDD|224937	66791	0.0011877113917688547
gnl|CDD|426812	66649	0.001185186275845584
gnl|CDD|225015	66211	0.0011773975379977487
gnl|CDD|214896	66100	0.0011754236797760372
gnl|CDD|433027	65950	0.001172756303800751
gnl|CDD|427656	65566	0.001165927821304019
gnl|CDD|273570	65434	0.0011635805304457672
gnl|CDD|239017	65370	0.0011624424500296451
gnl|CDD|214522	64672	0.0011500302604913143
gnl|CDD|425877	64372	0.0011446955085407423
gnl|CDD|259856	64328	0.0011439130782546583
gnl|CDD|274027	64219	0.0011419747850459506
gnl|CDD|398567	63739	0.0011334391819250353
gnl|CDD|426365	63632	0.0011315364537293313
gnl|CDD|238197	62748	0.0011158167179816457
gnl|CDD|425766	62632	0.0011137539472274244
gnl|CDD|395114	62617	0.001113487209629896
gnl|CDD|340451	62327	0.001108330282744343
gnl|CDD|130061	62007	0.0011026398806637328
gnl|CDD|211539	61967	0.0011019285804036564
gnl|CDD|340762	61891	0.0011005771099095115
gnl|CDD|223346	61885	0.0011004704148705002
gnl|CDD|185361	61623	0.0010958113981670006
gnl|CDD|425665	61370	0.0010913124240220181
gnl|CDD|428512	61369	0.0010912946415155163
gnl|CDD|425640	61005	0.001084821809148822
gnl|CDD|425728	60596	0.0010775487639895424
gnl|CDD|238829	60427	0.0010745435203907202
gnl|CDD|274691	59593	0.00105971290996813
gnl|CDD|178988	59498	0.0010580235718504487
gnl|CDD|177330	59180	0.0010523687347828424
