smORF_52	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,wastewater,activated sludge,soil,insect associated,deer gut,cat gut,isolate,bat gut,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_53	bear gut,pig gut,river associated,human skin,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,wastewater,activated sludge,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_54	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,wastewater,activated sludge,soil,bee gut,fermented food,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_55	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,wastewater,soil,anthropogenic,bee gut,fermented food,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,crustacean associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human saliva,rat gut,marine,chicken gut,mock community,insect gut
smORF_56	human gut
smORF_57	pig gut,river associated,human skin,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,isolate,cat gut,human associated,bat gut,cattle gut,air,water associated,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_58	cattle gut,wastewater,mouse gut,human mouth,human gut,rat gut,fermented food,chicken gut,cattle rumen,isolate
smORF_59	cat gut,groundwater,cattle gut,pig gut,water associated,wastewater,activated sludge,mouse gut,built environment,human gut,dog gut,marine,chicken gut,deer gut,lake associated,cattle rumen,isolate
smORF_60	pig gut,cattle gut,cattle associated,bird gut,wastewater,mouse gut,built environment,human gut,isolate,primate gut,dog gut,soil,chicken gut,cat gut
smORF_61	bear gut,pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,dog associated,cattle rumen,air,human urogenital tract,rat gut,marine,chicken gut,mock community,insect gut
smORF_62	bear gut,pig gut,mouse gut,built environment,human gut,primate gut,dog gut,bird gut,wastewater,soil,bee gut,insect associated,isolate,cat gut,bat gut,cattle gut,water associated,human mouth,rat gut,marine,chicken gut
smORF_63	pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,bee gut,fermented food,insect associated,deer gut,isolate,cat gut,cattle gut,plant associated,dog associated,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_64	pig gut,cattle gut,mouse gut,human gut,marine,isolate
smORF_65	cattle gut,mouse gut,human gut,marine,isolate
smORF_66	pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,wastewater,soil,human associated,cattle gut,air,water associated,human respiratory tract,rat gut,chicken gut
smORF_67	pig gut,river associated,mouse gut,built environment,human gut,primate gut,dog gut,bird gut,wastewater,soil,insect associated,cat gut,lake associated,cattle gut,water associated,rat gut,chicken gut,mock community,insect gut
smORF_68	pig gut,human skin,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,deer gut,isolate,lake associated,cat gut,bat gut,cattle gut,goat gut,plant associated,air,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community
smORF_69	pig gut,cattle gut,bird gut,mouse gut,human gut,primate gut,dog gut,soil,isolate
smORF_70	marine,human gut,isolate
smORF_71	pig gut,cattle gut,wastewater,mouse gut,human gut,primate gut,dog gut,isolate
smORF_72	marine,human gut,isolate
smORF_73	marine,human gut,isolate
smORF_74	marine,human gut,isolate
smORF_75	pig gut,cattle gut,wastewater,mouse gut,built environment,human gut,marine,isolate
smORF_76	pig gut,cattle gut,mouse gut,human gut,primate gut,soil,isolate
smORF_77	pig gut,cattle gut,bird gut,wastewater,mouse gut,built environment,human gut,primate gut,dog gut,isolate
smORF_78	pig gut,cattle gut,water associated,bird gut,wastewater,mouse gut,human gut,primate gut,dog gut,isolate
smORF_79	pig gut,river associated,human skin,mouse gut,built environment,human gut,primate gut,dog gut,cattle associated,bird gut,activated sludge,wastewater,soil,fermented food,anthropogenic,isolate,cat gut,cattle gut,goat gut,plant associated,cattle rumen,air,water associated,termite gut,beatle gut,human mouth,rat gut,marine,chicken gut,insect gut,groundwater
smORF_80	pig gut,mouse gut,human gut,chicken gut,isolate
smORF_81	cattle gut,mouse gut,human gut,marine,isolate
smORF_82	cattle gut,mouse gut,human gut,marine,isolate
smORF_83	pig gut,cattle gut,mouse gut,human gut,marine,isolate
smORF_84	pig gut,mouse gut,human gut,marine,isolate
smORF_85	pig gut,mouse gut,human gut,marine,isolate
smORF_86	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,plant associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_87	pig gut,cattle gut,bird gut,wastewater,mouse gut,human gut,primate gut,dog gut,isolate
smORF_88	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,bird gut,planarian associated,wastewater,insect associated,deer gut,isolate,cat gut,human associated,cattle gut,air,human urogenital tract,rat gut,marine,chicken gut
smORF_89	bear gut,pig gut,human skin,river associated,mouse gut,built environment,human gut,primate gut,dog gut,hot spring associated,cattle associated,bird gut,activated sludge,planarian associated,wastewater,soil,bee gut,insect associated,deer gut,cat gut,isolate,human associated,bat gut,cattle gut,goat gut,lake associated,plant associated,dog associated,cattle rumen,air,water associated,human respiratory tract,human urogenital tract,human mouth,rat gut,marine,chicken gut,mock community,insect gut
smORF_90	wastewater,human gut
smORF_92	pig gut,cattle gut,bird gut,wastewater,mouse gut,human gut,primate gut,dog gut,chicken gut,isolate
