9	377
10	970
11	1899
12	3588
13	5789
14	9439
15	14163
16	21665
17	31135
18	42152
19	58194
20	76609
21	98321
22	125920
23	160934
24	201847
25	241682
26	294665
27	355351
28	408742
29	486997
30	526337
31	603322
32	683268
33	767617
34	860026
35	960988
36	1074824
37	1178658
38	1290591
39	1430064
40	2116354
41	2301571
42	2468467
43	2641233
44	2821780
45	3000048
46	3176878
47	3315394
48	3486006
49	3659053
50	3756973
51	3897556
52	4059275
53	4200483
54	4346763
55	4476406
56	4634741
57	4783518
58	4894735
59	5017029
60	5053526
61	5137163
62	5234284
63	5302529
64	5378181
65	5488988
66	5566428
67	5641790
68	5633111
69	5675186
70	5593838
71	5609098
72	5610619
73	5592842
74	5576589
75	5580121
76	5577101
77	5572780
78	5561297
79	5547171
80	5420677
81	5330812
82	5266933
83	5241015
84	5233367
85	5130293
86	4997725
87	4882304
88	4768427
89	4699427
90	4430292
91	4348940
92	4280691
93	4228614
94	4154956
95	4133538
96	4181092
97	4120499
98	4072862
99	4001372
