HUMAN2770
HUMAN217175
HUMAN261267
HUMAN105896
HUMAN6053
HUMAN297313
HUMAN386583
HUMAN321227
HUMAN57265
HUMAN36084
HUMAN90053
HUMAN383336
HUMAN415003
HUMAN268229
HUMAN85115
HUMAN93841
HUMAN140872
HUMAN350571
HUMAN5608
HUMAN33773
HUMAN126318
HUMAN181205
HUMAN202952
HUMAN135069
HUMAN390399
HUMAN193614
HUMAN189868
HUMAN221151
HUMAN136462
HUMAN129341
HUMAN2834
HUMAN82733
HUMAN153582
HUMAN179455
HUMAN390765
HUMAN335755
HUMAN408694
HUMAN4702
HUMAN11750
HUMAN307536
HUMAN356958
HUMAN418271
HUMAN56515
HUMAN266621
HUMAN315713
HUMAN36625
HUMAN40625
HUMAN353073
HUMAN394058
HUMAN151502
HUMAN358218
HUMAN3776
HUMAN146275
HUMAN16126
HUMAN388905
HUMAN161049
HUMAN44586
HUMAN122942
HUMAN332977
HUMAN372180
HUMAN91006
HUMAN360598
HUMAN7517
HUMAN30486
HUMAN142651
HUMAN377896
HUMAN128780
HUMAN281037
HUMAN297023
HUMAN405832
HUMAN144330
HUMAN104565
HUMAN434881
HUMAN31963
HUMAN193874
HUMAN217082
HUMAN303739
HUMAN296575
HUMAN115842
HUMAN403643
HUMAN60580
HUMAN95204
HUMAN204305
HUMAN363279
HUMAN211479
HUMAN410010
HUMAN143406
HUMAN276907
HUMAN51476
HUMAN296127
HUMAN304319
HUMAN380093
HUMAN244763
HUMAN427689
HUMAN357244
HUMAN148641
HUMAN357747
HUMAN308913
HUMAN176803
HUMAN87653
HUMAN247314
HUMAN162349
HUMAN128215
HUMAN256068
HUMAN260766
HUMAN341698
HUMAN303246
HUMAN429297
HUMAN66179
HUMAN96442
HUMAN148699
HUMAN109404
HUMAN428958
HUMAN217005
HUMAN368627
HUMAN139640
HUMAN248887
HUMAN161763
HUMAN31889
HUMAN89776
HUMAN137330
HUMAN298351
HUMAN251659
HUMAN143667
HUMAN368233
HUMAN426174
HUMAN350399
HUMAN386591
HUMAN26111
HUMAN249132
HUMAN102969
HUMAN29925
HUMAN261582
HUMAN208887
HUMAN419615
HUMAN51482
HUMAN41461
HUMAN83817
HUMAN301324
HUMAN125217
HUMAN32379
HUMAN65799
HUMAN113017
HUMAN19257
HUMAN57205
HUMAN378940
HUMAN52421
HUMAN102370
HUMAN256494
HUMAN6379
HUMAN159196
HUMAN135267
HUMAN201005
HUMAN262738
HUMAN14639
HUMAN133864
HUMAN266730
HUMAN205663
HUMAN330562
HUMAN358254
HUMAN363166
HUMAN152669
HUMAN140812
HUMAN309809
HUMAN259720
HUMAN1657
HUMAN152648
HUMAN335872
HUMAN29811
HUMAN305726
HUMAN260676
HUMAN387996
HUMAN403165
HUMAN37795
HUMAN87570
HUMAN229674
HUMAN223537
HUMAN23390
HUMAN65668
HUMAN319866
HUMAN405166
HUMAN278311
HUMAN73623
HUMAN405646
HUMAN92737
HUMAN206001
HUMAN124844
HUMAN362737
HUMAN175643
HUMAN104550
HUMAN19144
HUMAN36150
HUMAN10184
HUMAN195923
HUMAN229149
HUMAN201278
HUMAN65215
HUMAN326334
HUMAN10393
HUMAN232281
HUMAN367439
HUMAN431071
HUMAN361868
HUMAN340858
HUMAN24270
HUMAN346419
HUMAN3140
HUMAN352895
HUMAN226166
HUMAN71788
HUMAN114011
HUMAN223717
HUMAN436077
HUMAN344205
HUMAN232683
HUMAN351189
HUMAN89946
HUMAN325541
HUMAN415133
HUMAN134188
HUMAN57465
HUMAN205501
HUMAN181907
HUMAN14866
HUMAN279830
HUMAN309552
HUMAN293066
HUMAN98885
HUMAN409639
HUMAN53167
HUMAN221582
HUMAN403429
HUMAN185037
HUMAN352426
HUMAN35335
HUMAN165657
HUMAN197518
HUMAN264563
HUMAN382512
HUMAN204319
HUMAN306373
HUMAN204966
HUMAN355746
HUMAN3674
HUMAN98228
HUMAN16989
HUMAN430195
HUMAN321443
HUMAN177907
HUMAN168001
HUMAN326678
HUMAN378879
HUMAN320058
HUMAN394734
HUMAN155932
HUMAN37406
HUMAN173274
HUMAN206283
HUMAN297502
HUMAN116579
HUMAN138797
HUMAN197976
HUMAN345274
HUMAN65276
HUMAN191279
HUMAN262170
HUMAN86698
HUMAN64242
HUMAN230249
HUMAN137979
HUMAN256918
HUMAN416226
HUMAN308398
HUMAN334216
HUMAN211972
HUMAN396379
HUMAN59421
HUMAN230081
HUMAN307443
HUMAN57646
HUMAN23936
HUMAN179930
HUMAN371169
HUMAN282714
HUMAN64141
HUMAN72225
HUMAN113337
HUMAN363534
HUMAN400403
HUMAN128127
HUMAN221898
HUMAN203804
HUMAN53177
HUMAN97957
HUMAN140283
HUMAN265329
HUMAN211531
HUMAN404158
HUMAN197174
HUMAN244654
HUMAN335091
HUMAN465
HUMAN275975
HUMAN190537
HUMAN261908
HUMAN324908
HUMAN163442
HUMAN90496
HUMAN231915
HUMAN330693
HUMAN9196
HUMAN411591
HUMAN97316
HUMAN117975
HUMAN306392
HUMAN343310
HUMAN140632
HUMAN175522
HUMAN156897
HUMAN349198
HUMAN292272
HUMAN301428
HUMAN345659
HUMAN110260
HUMAN251909
HUMAN77238
HUMAN91244
HUMAN343947
HUMAN145385
HUMAN351880
HUMAN363888
HUMAN297302
HUMAN379281
HUMAN270312
HUMAN243076
HUMAN286106
HUMAN244165
HUMAN263812
HUMAN412870
HUMAN382045
HUMAN240945
HUMAN65340
HUMAN232263
HUMAN293040
HUMAN368831
HUMAN571
HUMAN86685
HUMAN132432
HUMAN155633
HUMAN306653
HUMAN336336
HUMAN167576
HUMAN360245
HUMAN369871
HUMAN417964
HUMAN86459
HUMAN92025
HUMAN109018
HUMAN169138
HUMAN173797
HUMAN422802
HUMAN354251
HUMAN379559
HUMAN301008
HUMAN59022
HUMAN201952
HUMAN355781
HUMAN314929
HUMAN65502
HUMAN189079
HUMAN189929
HUMAN113772
HUMAN284837
HUMAN93541
HUMAN325739
HUMAN340509
HUMAN422993
HUMAN418890
HUMAN280805
HUMAN39237
HUMAN134653
HUMAN32908
HUMAN276512
HUMAN228297
HUMAN60728
HUMAN15917
HUMAN245386
HUMAN250886
HUMAN331814
HUMAN340001
HUMAN162098
HUMAN360851
HUMAN29799
HUMAN312921
HUMAN167362
HUMAN183258
HUMAN68719
HUMAN71751
HUMAN122250
HUMAN145980
HUMAN155195
HUMAN197695
HUMAN243683
HUMAN261021
HUMAN270399
HUMAN113084
HUMAN166098
HUMAN291039
HUMAN313848
HUMAN412589
HUMAN35771
HUMAN8950
HUMAN69237
HUMAN188450
HUMAN222817
HUMAN374246
HUMAN107702
HUMAN123180
HUMAN233342
HUMAN356780
HUMAN186819
HUMAN137023
HUMAN433942
HUMAN9630
HUMAN133234
HUMAN37721
HUMAN14348
HUMAN421645
HUMAN360818
HUMAN306204
HUMAN320558
HUMAN380046
HUMAN14957
HUMAN283062
HUMAN24181
HUMAN183885
HUMAN226195
HUMAN159979
HUMAN336811
HUMAN4650
HUMAN73090
HUMAN166190
HUMAN145662
HUMAN297972
HUMAN358401
HUMAN7143
HUMAN140643
HUMAN141381
HUMAN87590
HUMAN22152
HUMAN92088
HUMAN14982
HUMAN20504
HUMAN116633
HUMAN368679
HUMAN311764
HUMAN394890
HUMAN357264
HUMAN199457
HUMAN285200
HUMAN326662
HUMAN253405
HUMAN229578
HUMAN403094
HUMAN159874
HUMAN298322
HUMAN226067
HUMAN295732
HUMAN168045
HUMAN262102
HUMAN355867
HUMAN269999
HUMAN233963
HUMAN428039
HUMAN1142
HUMAN68289
HUMAN307927
HUMAN112266
HUMAN225319
HUMAN52608
HUMAN36134
HUMAN303320
HUMAN322223
HUMAN78496
HUMAN178650
HUMAN303807
HUMAN384457
HUMAN402648
HUMAN64178
HUMAN384172
HUMAN355147
HUMAN395058
HUMAN433865
HUMAN242000
HUMAN97591
HUMAN251201
HUMAN184532
HUMAN57891
HUMAN121907
HUMAN108021
HUMAN343147
HUMAN190213
HUMAN333897
HUMAN47571
HUMAN133559
HUMAN347484
HUMAN52530
HUMAN160786
HUMAN32319
HUMAN283945
HUMAN294874
HUMAN247242
HUMAN34606
HUMAN276712
HUMAN295577
HUMAN395823
HUMAN98804
HUMAN101016
HUMAN118085
HUMAN223941
HUMAN45389
HUMAN52359
HUMAN140746
HUMAN133948
HUMAN212884
HUMAN85638
HUMAN247117
HUMAN171464
HUMAN372511
HUMAN242464
HUMAN83715
HUMAN405163
HUMAN378136
HUMAN109624
HUMAN957
HUMAN42420
HUMAN100429
HUMAN380147
HUMAN192001
HUMAN96784
HUMAN4022
HUMAN85116
HUMAN8840
HUMAN151082
HUMAN381154
HUMAN391160
HUMAN216703
HUMAN220729
HUMAN381833
HUMAN8508
HUMAN416007
HUMAN245483
HUMAN18409
HUMAN33402
HUMAN164129
HUMAN190315
HUMAN305491
HUMAN71083
HUMAN291804
HUMAN320441
HUMAN230219
HUMAN88250
HUMAN90816
HUMAN251821
HUMAN219860
HUMAN310275
HUMAN148034
HUMAN194098
HUMAN222790
HUMAN223135
HUMAN165432
HUMAN245041
HUMAN249989
HUMAN265041
HUMAN300877
HUMAN200508
HUMAN266681
