accession	bac_trans_count	bac_trans_all
COG0394	4	455582
COG1828	4	455582
COG3478	4	455582
COG5131	4	455582
COG4309	4	455582
COG5302	4	455582
COG5583	4	455582
COG4746	4	455582
COG3309	4	455582
COG0091	4	455582
COG0360	4	455582
COG3324	3	455582
COG0375	3	455582
COG3848	3	455582
COG0848	3	455582
COG1990	3	455582
COG3433	3	455582
COG0203	3	455582
COG3686	3	455582
COG2051	3	455582
COG4634	3	455582
COG3908	3	455582
COG1532	3	455582
COG0023	3	455582
COG4367	3	455582
COG0784	3	455582
COG1849	3	455582
COG3750	3	455582
COG3089	3	455582
COG0792	3	455582
COG0093	3	455582
COG3671	3	455582
COG4039	3	455582
COG1958	3	455582
COG2018	3	455582
COG1708	3	455582
COG2944	3	455582
COG2921	3	455582
COG0295	2	455582
COG2010	2	455582
COG1302	2	455582
COG0818	2	455582
COG5428	2	455582
COG5625	2	455582
COG4568	2	455582
COG4572	2	455582
COG5626	2	455582
COG1553	2	455582
COG4824	2	455582
COG4454	2	455582
COG0255	2	455582
COG1487	2	455582
COG1981	2	455582
COG0386	2	455582
COG3556	2	455582
COG4837	2	455582
COG1888	2	455582
COG4038	2	455582
COG1993	2	455582
COG3860	2	455582
COG4830	2	455582
COG2033	2	455582
COG3130	2	455582
COG3813	2	455582
COG0292	2	455582
COG2938	2	455582
COG3564	2	455582
COG5341	2	455582
COG0261	2	455582
COG4259	2	455582
COG4768	2	455582
COG0251	2	455582
COG2009	2	455582
COG5552	2	455582
COG0242	1	455582
COG3502	1	455582
COG3193	1	455582
COG5051	1	455582
COG5550	1	455582
COG2924	1	455582
COG1447	1	455582
COG1825	1	455582
COG3476	1	455582
COG5304	1	455582
COG3133	1	455582
COG4922	1	455582
COG1734	1	455582
COG5439	1	455582
COG1594	1	455582
COG4064	1	455582
COG5447	1	455582
COG4390	1	455582
COG4968	1	455582
COG5478	1	455582
COG3865	1	455582
COG4933	1	455582
COG0599	1	455582
COG5488	1	455582
COG5559	1	455582
COG3370	1	455582
COG1753	1	455582
COG2053	1	455582
COG1998	1	455582
COG3586	1	455582
COG4040	1	455582
COG3729	1	455582
COG5469	1	455582
COG4840	1	455582
COG0757	1	455582
COG4566	1	455582
COG4062	1	455582
COG2044	1	455582
COG3783	1	455582
COG3978	1	455582
COG3744	1	455582
COG2361	1	455582
COG4892	1	455582
COG3514	1	455582
COG3111	1	455582
COG2058	1	455582
COG4859	1	455582
COG1585	1	455582
COG2036	1	455582
COG1959	1	455582
COG4270	1	455582
COG1546	1	455582
COG3742	1	455582
COG2351	1	455582
COG2004	1	455582
COG1815	1	455582
COG4570	1	455582
COG4919	1	455582
COG1416	1	455582
COG4803	1	455582
COG5614	1	455582
COG5462	1	455582
COG4852	1	455582
COG2315	1	455582
COG4551	1	455582
COG1683	1	455582
COG0344	1	455582
COG3038	1	455582
COG1371	1	455582
COG3862	1	455582
COG5515	1	455582
COG3238	1	455582
COG3615	1	455582
COG3788	1	455582
COG3189	1	455582
COG5500	1	455582
COG0711	1	455582
COG3811	1	455582
COG4704	1	455582
COG2402	1	455582
COG4954	1	455582
COG2105	1	455582
COG1937	1	455582
COG3134	1	455582
COG1846	1	455582
COG5433	1	455582
COG2075	1	455582
COG2910	1	455582
COG0736	1	455582
COG3526	1	455582
