accession	arc_not_trans_count	arc_not_trans_all
COG0853	2	191500
COG4479	2	191500
COG3423	2	191500
COG0333	2	191500
COG5304	2	191500
COG3024	2	191500
COG4691	2	191500
COG4043	2	191500
COG5565	2	191500
COG4118	2	191500
COG5475	2	191500
COG5614	2	191500
COG5625	2	191500
COG5417	2	191500
COG4416	2	191500
COG1591	2	191500
COG1885	2	191500
COG0230	2	191500
COG4679	1	191500
COG3584	1	191500
COG5431	1	191500
COG3254	1	191500
COG3062	1	191500
COG0727	1	191500
COG3750	1	191500
COG2739	1	191500
COG2158	1	191500
COG4570	1	191500
COG0824	1	191500
COG0605	1	191500
COG5425	1	191500
COG5457	1	191500
COG3089	1	191500
COG3631	1	191500
COG4738	1	191500
COG2944	1	191500
COG0720	1	191500
COG0512	1	191500
COG3042	1	191500
COG5515	1	191500
COG1917	1	191500
COG1539	1	191500
COG4837	1	191500
COG1717	1	191500
COG5507	1	191500
COG4831	1	191500
COG2852	1	191500
COG2914	1	191500
COG1695	1	191500
COG5004	1	191500
COG5439	1	191500
COG4541	1	191500
COG4980	1	191500
COG2770	1	191500
COG0197	1	191500
COG0257	1	191500
COG1019	1	191500
COG2052	1	191500
COG3860	1	191500
COG5649	1	191500
COG4423	1	191500
COG0589	1	191500
COG3323	1	191500
COG4352	1	191500
COG0360	1	191500
COG1225	1	191500
COG2250	1	191500
COG1098	1	191500
COG3097	1	191500
COG1528	1	191500
COG2427	1	191500
COG1658	1	191500
COG3293	1	191500
COG4075	1	191500
COG4392	1	191500
COG0851	1	191500
COG4311	1	191500
COG0251	1	191500
COG4481	1	191500
COG3795	1	191500
COG3784	1	191500
COG0267	1	191500
COG0228	1	191500
COG5051	1	191500
