domain,phylum,transmembrane,count
d__Bacteria,p__Calescibacterota,Y,312
d__Bacteria,p__Campylobacterota,N,277051
d__Bacteria,p__Campylobacterota,Y,65624
d__Bacteria,p__Candidatus Kryptonia,N,12
d__Bacteria,p__Candidatus Kryptonia,Y,3
d__Bacteria,p__Candidatus Latescibacteria,N,2
d__Bacteria,p__Candidatus Microgenomates,N,1
d__Bacteria,p__Chlamydiae,N,780
d__Bacteria,p__Chlamydiae,Y,253
d__Bacteria,p__Chlorobi,N,191
d__Bacteria,p__Chlorobi,Y,48
d__Bacteria,p__Chloroflexi,N,665
d__Bacteria,p__Chloroflexi,Y,276
d__Bacteria,p__Chloroflexota,N,5713027
d__Bacteria,p__Chloroflexota,Y,1028842
d__Bacteria,p__Chrysiogenetes,N,4
d__Bacteria,p__Chrysiogenetota,N,899
d__Bacteria,p__Chrysiogenetota,Y,155
d__Bacteria,p__Cloacimonadota,N,73689
d__Bacteria,p__Cloacimonadota,Y,12911
d__Bacteria,p__Coprothermobacterota,N,1534
d__Bacteria,p__Coprothermobacterota,Y,325
d__Bacteria,p__Cyanobacteria,N,1617095
d__Bacteria,p__Cyanobacteria,Y,276345
d__Bacteria,p__DTU030,N,831
d__Bacteria,p__DTU030,Y,163
d__Bacteria,p__Deferribacteres,N,12
d__Bacteria,p__Deferribacterota,N,19433
d__Bacteria,p__Deferribacterota,Y,4554
d__Bacteria,p__Deinococcota,N,122516
d__Bacteria,p__Deinococcota,Y,23390
d__Bacteria,p__Deinococcus-Thermus,N,485
d__Bacteria,p__Deinococcus-Thermus,Y,111
d__Bacteria,p__Delongbacteria,N,2867
d__Bacteria,p__Delongbacteria,Y,549
d__Bacteria,p__Dependentiae,N,65467
d__Bacteria,p__Dependentiae,Y,13787
d__Bacteria,p__Desantisbacteria,N,8058
d__Bacteria,p__Desantisbacteria,Y,1079
d__Bacteria,p__Desulfobacterota,N,2983936
d__Bacteria,p__Desulfobacterota,Y,446258
d__Bacteria,p__Desulfobacterota_B,N,1286088
d__Bacteria,p__Desulfobacterota_B,Y,177620
d__Bacteria,p__Desulfobacterota_C,N,4715
d__Bacteria,p__Desulfobacterota_C,Y,749
d__Bacteria,p__Desulfobacterota_D,N,131762
d__Bacteria,p__Desulfobacterota_D,Y,24061
d__Bacteria,p__Dictyoglomi,N,16
d__Bacteria,p__Dictyoglomi,Y,3
d__Bacteria,p__Dictyoglomota,N,1772
d__Bacteria,p__Dictyoglomota,Y,339
d__Bacteria,p__Dormibacterota,N,929988
d__Bacteria,p__Dormibacterota,Y,182100
d__Bacteria,p__Edwardsbacteria,N,6906
d__Bacteria,p__Edwardsbacteria,Y,1230
d__Bacteria,p__Eisenbacteria,N,197474
d__Bacteria,p__Eisenbacteria,Y,37961
d__Bacteria,p__Elusimicrobiota,N,145828
d__Bacteria,p__Elusimicrobiota,Y,26270
d__Bacteria,p__Eremiobacterota,N,227501
d__Bacteria,p__Eremiobacterota,Y,39847
d__Bacteria,p__FCPU426,N,22219
d__Bacteria,p__FCPU426,Y,3822
d__Bacteria,p__FEN-1099,N,4550
d__Bacteria,p__FEN-1099,Y,727
d__Bacteria,p__Fermentibacterota,N,20765
d__Bacteria,p__Fermentibacterota,Y,3362
d__Bacteria,p__Fibrobacteres,N,359
d__Bacteria,p__Fibrobacteres,Y,84
d__Bacteria,p__Fibrobacterota,N,218670
d__Bacteria,p__Fibrobacterota,Y,35511
d__Bacteria,p__Firestonebacteria,N,3563
d__Bacteria,p__Firestonebacteria,Y,740
d__Bacteria,p__Firmicutes,N,3655275
d__Bacteria,p__Firmicutes,Y,777338
d__Bacteria,p__Firmicutes_A,N,24120268
d__Bacteria,p__Firmicutes_A,Y,4561938
d__Bacteria,p__Firmicutes_B,N,244038
d__Bacteria,p__Firmicutes_B,Y,44091
d__Bacteria,p__Firmicutes_C,N,852430
d__Bacteria,p__Firmicutes_C,Y,164346
d__Bacteria,p__Firmicutes_D,N,45150
d__Bacteria,p__Firmicutes_D,Y,8525
d__Bacteria,p__Firmicutes_E,N,27925
d__Bacteria,p__Firmicutes_E,Y,4762
d__Bacteria,p__Firmicutes_F,N,51884
d__Bacteria,p__Firmicutes_F,Y,11552
d__Bacteria,p__Firmicutes_G,N,77304
d__Bacteria,p__Firmicutes_G,Y,12984
d__Bacteria,p__Fusobacteria,N,2398
d__Bacteria,p__Fusobacteria,Y,672
d__Bacteria,p__Fusobacteriota,N,125833
d__Bacteria,p__Fusobacteriota,Y,27689
d__Bacteria,p__GCA-001730085,N,655
d__Bacteria,p__GCA-001730085,Y,187
d__Bacteria,p__Gemmatimonadetes,N,15
d__Bacteria,p__Gemmatimonadetes,Y,1
d__Bacteria,p__Gemmatimonadota,N,1991830
d__Bacteria,p__Gemmatimonadota,Y,368417
d__Bacteria,p__Gemmatimonadota_A,N,1991
d__Bacteria,p__Gemmatimonadota_A,Y,346
d__Bacteria,p__Goldbacteria,N,8425
d__Bacteria,p__Goldbacteria,Y,2294
d__Bacteria,p__Hydrogenedentota,N,57941
d__Bacteria,p__Hydrogenedentota,Y,8911
d__Bacteria,p__Ignavibacteriae,N,2
d__Bacteria,p__Ignavibacteriae,Y,1
d__Bacteria,p__J088,N,948
d__Bacteria,p__J088,Y,139
d__Bacteria,p__KSB1,N,54546
d__Bacteria,p__KSB1,Y,8698
d__Bacteria,p__Kiritimatiellaeota,N,2
d__Bacteria,p__Krumholzibacteriota,N,53083
d__Bacteria,p__Krumholzibacteriota,Y,9382
d__Bacteria,p__Latescibacterota,N,225427
d__Bacteria,p__Latescibacterota,Y,26372
d__Bacteria,p__Lentisphaerae,N,5
d__Bacteria,p__Lentisphaerae,Y,1
d__Bacteria,p__Lindowbacteria,N,7532
d__Bacteria,p__Lindowbacteria,Y,1085
d__Bacteria,p__Margulisbacteria,N,41686
d__Bacteria,p__Margulisbacteria,Y,7254
d__Bacteria,p__Marinisomatota,N,733127
d__Bacteria,p__Marinisomatota,Y,170053
d__Bacteria,p__Methylomirabilota,N,1243091
d__Bacteria,p__Methylomirabilota,Y,248177
d__Bacteria,p__Moduliflexota,N,18910
d__Bacteria,p__Moduliflexota,Y,2577
d__Bacteria,p__Muirbacteria,N,571
d__Bacteria,p__Muirbacteria,Y,110
d__Bacteria,p__Myxococcota,N,2330710
d__Bacteria,p__Myxococcota,Y,423109
d__Bacteria,p__Myxococcota_A,N,271331
d__Bacteria,p__Myxococcota_A,Y,39630
