accession	arc_trans_count	arc_trans_all	arc_not_trans_count	arc_not_trans_all	arc_trans_proportion	arc_not_trans_proportion	arc_trans_fold_change
COG1644	6.0	11347.0	2917.0	191500.0	0.0005287741253194677	0.015232375979112272	0.03471383099029073
COG5466	6.0	11347.0	1160.0	191500.0	0.0005287741253194677	0.006057441253263708	0.0872933146540328
COG1278	6.0	11347.0	1873.0	191500.0	0.0005287741253194677	0.009780678851174935	0.05406313133939031
COG1758	6.0	11347.0	1698.0	191500.0	0.0005287741253194677	0.008866840731070497	0.05963500883314373
COG0298	6.0	11347.0	1600.0	191500.0	0.0005287741253194677	0.00835509138381201	0.06328765312417378
COG3466	6.0	11347.0	1562.0	191500.0	0.0005287741253194677	0.008156657963446475	0.06482730153564537
COG2770	6.0	11347.0	1.0	191500.0	0.0005287741253194677	5.221932114882507e-06	101.26024499867805
COG4392	6.0	11347.0	1.0	191500.0	0.0005287741253194677	5.221932114882507e-06	101.26024499867805
COG3830	6.0	11347.0	208.0	191500.0	0.0005287741253194677	0.0010861618798955613	0.486828100955183
COG4541	5.0	11347.0	1.0	191500.0	0.0004406451044328897	5.221932114882507e-06	84.38353749889838
COG1436	5.0	11347.0	818.0	191500.0	0.0004406451044328897	0.00427154046997389	0.10315835880060926
COG3414	5.0	11347.0	18.0	191500.0	0.0004406451044328897	9.399477806788511e-05	4.687974305494355
COG4575	5.0	11347.0	0.0	191500.0	0.0004406451044328897	0.0	inf
COG3585	5.0	11347.0	665.0	191500.0	0.0004406451044328897	0.003472584856396867	0.12689253759232838
COG2608	4.0	11347.0	1994.0	191500.0	0.0003525160835463118	0.010412532637075717	0.033854979939377486
COG2075	4.0	11347.0	1591.0	191500.0	0.0003525160835463118	0.008308093994778068	0.04243043997430465
COG2142	4.0	11347.0	0.0	191500.0	0.0003525160835463118	0.0	inf
COG1254	3.0	11347.0	2941.0	191500.0	0.00026438706265973383	0.015357702349869452	0.017215274566249245
COG0239	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf
COG1918	3.0	11347.0	1415.0	191500.0	0.00026438706265973383	0.007389033942558747	0.03578100529988624
COG3668	3.0	11347.0	83.0	191500.0	0.00026438706265973383	0.000433420365535248	0.610001475895651
COG1773	3.0	11347.0	840.0	191500.0	0.00026438706265973383	0.004386422976501305	0.06027395535635599
COG2835	3.0	11347.0	1286.0	191500.0	0.00026438706265973383	0.0067154046997389034	0.039370235224991466
COG3197	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf
COG2827	3.0	11347.0	656.0	191500.0	0.00026438706265973383	0.0034255874673629243	0.07718006478557779
COG0401	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf
COG3152	3.0	11347.0	0.0	191500.0	0.00026438706265973383	0.0	inf
COG2012	3.0	11347.0	3575.0	191500.0	0.00026438706265973383	0.01866840731070496	0.014162272027787142
COG1476	2.0	11347.0	2112.0	191500.0	0.0001762580417731559	0.011028720626631855	0.01598173058691257
COG3360	2.0	11347.0	1498.0	191500.0	0.0001762580417731559	0.007822454308093994	0.022532319759385418
COG0393	2.0	11347.0	82.0	191500.0	0.0001762580417731559	0.00042819843342036554	0.4116270121897482
COG2412	2.0	11347.0	2728.0	191500.0	0.0001762580417731559	0.014245430809399478	0.012372952712448444
COG3369	2.0	11347.0	124.0	191500.0	0.0001762580417731559	0.0006475195822454308	0.2722049596738657
COG2929	2.0	11347.0	22.0	191500.0	0.0001762580417731559	0.00011488250652741515	1.5342461363436068
COG1687	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf
COG3357	2.0	11347.0	251.0	191500.0	0.0001762580417731559	0.0013107049608355092	0.13447575697035596
COG2863	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf
COG2139	2.0	11347.0	2845.0	191500.0	0.0001762580417731559	0.01485639686684073	0.011864117750284483
COG5131	2.0	11347.0	964.0	191500.0	0.0001762580417731559	0.005033942558746736	0.035013915974646634
COG3815	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf
COG0640	2.0	11347.0	411.0	191500.0	0.0001762580417731559	0.0021462140992167104	0.08212509732252883
COG1358	2.0	11347.0	338.0	191500.0	0.0001762580417731559	0.0017650130548302872	0.09986217455490932
COG4327	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf
COG1872	2.0	11347.0	612.0	191500.0	0.0001762580417731559	0.003195822454308094	0.05515263888816888
COG3296	2.0	11347.0	0.0	191500.0	0.0001762580417731559	0.0	inf
COG1144	1.0	11347.0	1225.0	191500.0	8.812902088657794e-05	0.006396866840731071	0.013776904081452795
COG4888	1.0	11347.0	65.0	191500.0	8.812902088657794e-05	0.0003394255874673629	0.2596416538427643
COG4545	1.0	11347.0	730.0	191500.0	8.812902088657794e-05	0.00381201044386423	0.02311877739695846
COG4919	1.0	11347.0	320.0	191500.0	8.812902088657794e-05	0.001671018276762402	0.05273971093681149
COG2126	1.0	11347.0	633.0	191500.0	8.812902088657794e-05	0.0033054830287206267	0.026661465244517655
COG2174	1.0	11347.0	920.0	191500.0	8.812902088657794e-05	0.004804177545691906	0.018344247282369212
COG3422	1.0	11347.0	438.0	191500.0	8.812902088657794e-05	0.002287206266318538	0.03853129566159744
COG2167	1.0	11347.0	901.0	191500.0	8.812902088657794e-05	0.004704960835509139	0.018731084905415845
COG0599	1.0	11347.0	15.0	191500.0	8.812902088657794e-05	7.83289817232376e-05	1.125113833318645
COG3339	1.0	11347.0	0.0	191500.0	8.812902088657794e-05	0.0	inf
COG3277	1.0	11347.0	718.0	191500.0	8.812902088657794e-05	0.0037493472584856397	0.023505163648718214
COG0607	1.0	11347.0	257.0	191500.0	8.812902088657794e-05	0.0013420365535248041	0.0656681225672361
