accession	arc_trans_count	arc_trans_all	bac_trans_count	bac_trans_all	arc_trans_proportion	bac_trans_proportion	fold change
COG0694	0.0	11347	25.0	455582	0.0	5.487486336159023e-05	0.0
COG1558	0.0	11347	24.0	455582	0.0	5.267986882712662e-05	0.0
COG0291	0.0	11347	24.0	455582	0.0	5.267986882712662e-05	0.0
COG4274	0.0	11347	23.0	455582	0.0	5.048487429266301e-05	0.0
COG2388	0.0	11347	21.0	455582	0.0	4.6094885223735795e-05	0.0
COG2257	0.0	11347	21.0	455582	0.0	4.6094885223735795e-05	0.0
COG5605	0.0	11347	21.0	455582	0.0	4.6094885223735795e-05	0.0
COG3136	0.0	11347	21.0	455582	0.0	4.6094885223735795e-05	0.0
COG5544	0.0	11347	20.0	455582	0.0	4.389989068927218e-05	0.0
COG1582	0.0	11347	20.0	455582	0.0	4.389989068927218e-05	0.0
COG3895	0.0	11347	19.0	455582	0.0	4.1704896154808576e-05	0.0
COG0186	0.0	11347	19.0	455582	0.0	4.1704896154808576e-05	0.0
COG1445	0.0	11347	18.0	455582	0.0	3.9509901620344964e-05	0.0
COG4481	0.0	11347	18.0	455582	0.0	3.9509901620344964e-05	0.0
COG3870	0.0	11347	18.0	455582	0.0	3.9509901620344964e-05	0.0
COG3609	0.0	11347	18.0	455582	0.0	3.9509901620344964e-05	0.0
COG0727	0.0	11347	17.0	455582	0.0	3.731490708588136e-05	0.0
COG3809	0.0	11347	16.0	455582	0.0	3.5119912551417746e-05	0.0
COG4877	0.0	11347	16.0	455582	0.0	3.5119912551417746e-05	0.0
COG3592	0.0	11347	15.0	455582	0.0	3.292491801695414e-05	0.0
COG0222	0.0	11347	15.0	455582	0.0	3.292491801695414e-05	0.0
COG3323	0.0	11347	15.0	455582	0.0	3.292491801695414e-05	0.0
COG1837	0.0	11347	14.0	455582	0.0	3.072992348249053e-05	0.0
COG2965	0.0	11347	14.0	455582	0.0	3.072992348249053e-05	0.0
COG1393	0.0	11347	14.0	455582	0.0	3.072992348249053e-05	0.0
COG1388	0.0	11347	14.0	455582	0.0	3.072992348249053e-05	0.0
COG2740	0.0	11347	14.0	455582	0.0	3.072992348249053e-05	0.0
COG4842	0.0	11347	13.0	455582	0.0	2.853492894802692e-05	0.0
COG1996	0.0	11347	13.0	455582	0.0	2.853492894802692e-05	0.0
COG4197	0.0	11347	13.0	455582	0.0	2.853492894802692e-05	0.0
