accession	bac_trans_count	bac_trans_all	bac_not_trans_count	bac_not_trans_all	bac_trans_proportion	bac_not_trans_proportion	bac_trans_fold_change
COG1923	316.0	455582.0	17105.0	4292445.0	0.0006936182728905005	0.003984908368074605	0.17406128543568924
COG1669	303.0	455582.0	25976.0	4292445.0	0.0006650833439424736	0.006051562687466002	0.1099027438515996
COG4104	297.0	455582.0	6949.0	4292445.0	0.000651913376735692	0.0016188908652294905	0.4026913677366869
COG0347	297.0	455582.0	2646.0	4292445.0	0.000651913376735692	0.000616431893710927	1.0575594536667563
COG5336	294.0	455582.0	0.0	4292445.0	0.0006453283931323012	0.0	inf
COG2142	274.0	455582.0	0.0	4292445.0	0.0006014285024430289	0.0	inf
COG3311	254.0	455582.0	38620.0	4292445.0	0.0005575286117537568	0.008997203225667423	0.061966879903660135
COG3790	242.0	455582.0	0.0	4292445.0	0.0005311886773401934	0.0	inf
COG5548	241.0	455582.0	0.0	4292445.0	0.0005289936828057298	0.0	inf
COG3830	240.0	455582.0	9727.0	4292445.0	0.0005267986882712662	0.0022660744633885817	0.2324719230468341
COG3759	239.0	455582.0	1.0	4292445.0	0.0005246036937368026	2.3296745794063757e-07	2251.8325021620694
COG4238	226.0	455582.0	1.0	4292445.0	0.0004960687647887757	2.3296745794063757e-07	2129.3478890737565
COG5416	220.0	455582.0	0.0	4292445.0	0.00048289879758199404	0.0	inf
COG0011	219.0	455582.0	4153.0	4292445.0	0.0004807038030475304	0.0009675138528274677	0.49684436211710975
COG5457	211.0	455582.0	4784.0	4292445.0	0.00046314384677182156	0.0011145163187880102	0.41555591332702163
COG1724	202.0	455582.0	49975.0	4292445.0	0.0004433888959616491	0.011642548710583362	0.03808349073588996
COG2835	197.0	455582.0	33569.0	4292445.0	0.000432413923289331	0.007820484595609262	0.055292471713595054
COG3695	187.0	455582.0	7474.0	4292445.0	0.0004104639779446949	0.001741198780648325	0.23573642625218305
COG1278	187.0	455582.0	106469.0	4292445.0	0.0004104639779446949	0.02480381227948174	0.016548423013354272
COG3125	178.0	455582.0	0.0	4292445.0	0.00039070902713452243	0.0	inf
COG3296	167.0	455582.0	0.0	4292445.0	0.0003665640872554227	0.0	inf
COG0640	167.0	455582.0	13803.0	4292445.0	0.0003665640872554227	0.0032156498219546204	0.11399378276600036
COG3462	164.0	455582.0	2.0	4292445.0	0.0003599791036520319	4.6593491588127513e-07	772.595251787823
COG1550	162.0	455582.0	13034.0	4292445.0	0.0003555891145831047	0.00303649784679827	0.11710501127410425
COG3767	158.0	455582.0	3.0	4292445.0	0.00034680913644525023	6.989023738219127e-07	496.21971456291067
COG1742	158.0	455582.0	0.0	4292445.0	0.00034680913644525023	0.0	inf
COG3077	157.0	455582.0	16124.0	4292445.0	0.00034461414191078665	0.00375636729183484	0.09174133281904283
COG3152	155.0	455582.0	0.0	4292445.0	0.0003402241528418594	0.0	inf
COG2154	154.0	455582.0	17256.0	4292445.0	0.00033802915830739584	0.004020086454223642	0.08408504696515934
COG2443	153.0	455582.0	0.0	4292445.0	0.0003358341637729322	0.0	inf
COG0236	150.0	455582.0	156109.0	4292445.0	0.0003292491801695414	0.03636831689165499	0.009053187178015662
COG3474	149.0	455582.0	441.0	4292445.0	0.00032705418563507775	0.00010273864895182116	3.1833607797241754
COG4576	148.0	455582.0	18869.0	4292445.0	0.00032485919110061416	0.0043958629638818905	0.0739011187950541
COG3411	146.0	455582.0	5082.0	4292445.0	0.00032046920203168694	0.00118394062125432	0.2706801306404771
COG3093	143.0	455582.0	14701.0	4292445.0	0.0003138842184282961	0.0034248545991853127	0.09164891803084468
COG3113	143.0	455582.0	7464.0	4292445.0	0.0003138842184282961	0.0017388691060689187	0.18051054983540296
COG5470	140.0	455582.0	23258.0	4292445.0	0.00030729923482490526	0.005418357136783348	0.05671446659334382
COG0425	132.0	455582.0	35675.0	4292445.0	0.0002897392785491964	0.008311114062032245	0.034861665522413605
COG3584	130.0	455582.0	1445.0	4292445.0	0.0002853492894802692	0.0003366379767242213	0.8476443812340028
COG4897	130.0	455582.0	0.0	4292445.0	0.0002853492894802692	0.0	inf
COG0230	130.0	455582.0	22001.0	4292445.0	0.0002853492894802692	0.005125517042151967	0.055672293572252805
COG3549	129.0	455582.0	27638.0	4292445.0	0.0002831542949458056	0.006438754602563341	0.04397656261555281
COG4023	128.0	455582.0	6.0	4292445.0	0.00028095930041134197	1.3978047476438255e-06	201.00039070902713
COG1598	126.0	455582.0	51089.0	4292445.0	0.00027656931134241474	0.011902074458729232	0.02323706781548262
COG3585	126.0	455582.0	18370.0	4292445.0	0.00027656931134241474	0.004279612202369512	0.06462485343631962
COG3423	125.0	455582.0	1371.0	4292445.0	0.00027437431680795116	0.0003193983848366141	0.8590347660909597
COG4453	123.0	455582.0	11516.0	4292445.0	0.00026998432773902393	0.0026828532456443822	0.10063328218841043
COG2146	119.0	455582.0	3949.0	4292445.0	0.0002612043496011695	0.0009199884914075778	0.28392132297386474
COG0211	117.0	455582.0	51201.0	4292445.0	0.00025681436053224226	0.011928166814018584	0.021530077885096397
COG2052	113.0	455582.0	9395.0	4292445.0	0.00024803438239438786	0.00218872926735229	0.113323464027342
COG4744	108.0	455582.0	3.0	4292445.0	0.0002370594097220698	6.989023738219127e-07	339.1881593214833
COG0271	107.0	455582.0	35067.0	4292445.0	0.00023486441518760618	0.008169469847604338	0.028749039970626635
COG1188	107.0	455582.0	5888.0	4292445.0	0.00023486441518760618	0.001371712392354474	0.1712198683169097
COG1841	97.0	455582.0	55542.0	4292445.0	0.0002129144698429701	0.012939478548938892	0.016454640659412836
COG5466	96.0	455582.0	5300.0	4292445.0	0.00021071947530850647	0.0012347275270853792	0.1706607090925702
COG1145	86.0	455582.0	2232.0	4292445.0	0.00018876952996387038	0.0005199833661235031	0.3630299395366333
COG3856	85.0	455582.0	0.0	4292445.0	0.0001865745354294068	0.0	inf
COG1534	84.0	455582.0	10607.0	4292445.0	0.00018437954089494318	0.002471085826376343	0.07461478631251008
COG1359	83.0	455582.0	25943.0	4292445.0	0.00018218454636047957	0.00604387476135396	0.030143666696307626
COG2963	80.0	455582.0	24674.0	4292445.0	0.00017559956275708873	0.005748239057227291	0.03054840987107286
COG1677	77.0	455582.0	2326.0	4292445.0	0.00016901457915369792	0.000541882307169923	0.31190274514849303
COG2088	73.0	455582.0	7999.0	4292445.0	0.00016023460101584347	0.0018635066960671599	0.08598552468526718
COG3952	71.0	455582.0	0.0	4292445.0	0.00015584461194691624	0.0	inf
COG1366	68.0	455582.0	6823.0	4292445.0	0.00014925962834352543	0.00158953696552897	0.09390132571962832
COG3041	68.0	455582.0	24578.0	4292445.0	0.00014925962834352543	0.00572587418126499	0.0260675704038174
COG4391	67.0	455582.0	7268.0	4292445.0	0.00014706463380906182	0.0016932074843125538	0.08685564833111425
COG0298	67.0	455582.0	22473.0	4292445.0	0.00014706463380906182	0.005235477682299948	0.028090012551530208
COG0257	65.0	455582.0	10868.0	4292445.0	0.0001426746447401346	0.002531890332898849	0.05635103656989024
COG0361	64.0	455582.0	41247.0	4292445.0	0.00014047965020567098	0.009609208737677477	0.014619273453271301
COG2337	63.0	455582.0	2099.0	4292445.0	0.00013828465567120737	0.0004889986942173982	0.2827914620355387
COG2960	62.0	455582.0	4038.0	4292445.0	0.00013608966113674376	0.0009407225951642944	0.14466502860280092
COG4272	61.0	455582.0	0.0	4292445.0	0.00013389466660228017	0.0	inf
COG4118	60.0	455582.0	47391.0	4292445.0	0.00013169967206781656	0.011040560799264755	0.011928712178876555
COG1950	60.0	455582.0	0.0	4292445.0	0.00013169967206781656	0.0	inf
COG0633	59.0	455582.0	7203.0	4292445.0	0.00012950467753335295	0.0016780645995464125	0.07717502506659076
COG1144	59.0	455582.0	2257.0	4292445.0	0.00012950467753335295	0.000525807552572019	0.2462967237725535
COG3794	58.0	455582.0	97.0	4292445.0	0.00012730968299888934	2.2597843420241844e-05	5.633709404537809
COG2093	58.0	455582.0	132.0	4292445.0	0.00012730968299888934	3.075170444816416e-05	4.139922820001269
COG3937	57.0	455582.0	669.0	4292445.0	0.00012511468846442572	0.00015585522936228653	0.8027622106512434
COG2914	57.0	455582.0	3370.0	4292445.0	0.00012511468846442572	0.0007851003332599486	0.15936140027468304
COG5453	56.0	455582.0	1238.0	4292445.0	0.0001229196939299621	0.0002884137129305093	0.42619226624490814
COG4068	55.0	455582.0	2.0	4292445.0	0.00012072469939549851	4.6593491588127513e-07	259.1020661483553
COG0227	55.0	455582.0	31254.0	4292445.0	0.00012072469939549851	0.007281164930476687	0.01658040994102229
COG4539	54.0	455582.0	0.0	4292445.0	0.0001185297048610349	0.0	inf
COG0234	54.0	455582.0	53566.0	4292445.0	0.0001185297048610349	0.012479134852048192	0.009498230948404305
COG2868	53.0	455582.0	1827.0	4292445.0	0.00011633471032657129	0.0004256315456575448	0.2733225756254731
COG4456	53.0	455582.0	19256.0	4292445.0	0.00011633471032657129	0.004486021370104917	0.025932714253621692
COG5475	51.0	455582.0	2276.0	4292445.0	0.00011194472125764407	0.0005302339342728911	0.21112326847046045
COG3422	50.0	455582.0	6695.0	4292445.0	0.00010974972672318046	0.0015597171309125685	0.07036514797972851
COG4115	50.0	455582.0	20194.0	4292445.0	0.00010974972672318046	0.004704544845653235	0.023328447346948715
COG0268	49.0	455582.0	60012.0	4292445.0	0.00010755473218871685	0.013980843085933541	0.007693007605308883
COG3529	49.0	455582.0	874.0	4292445.0	0.00010755473218871685	0.00020361355824011722	0.5282297167160146
COG1970	48.0	455582.0	2.0	4292445.0	0.00010535973765425324	4.6593491588127513e-07	226.1254395476555
COG2127	47.0	455582.0	3903.0	4292445.0	0.00010316474311978964	0.0009092719883423084	0.11345861793000908
COG5007	47.0	455582.0	26788.0	4292445.0	0.00010316474311978964	0.006240732263313799	0.016530871501449357
COG2331	47.0	455582.0	12143.0	4292445.0	0.00010316474311978964	0.0028289238417731617	0.03646784038382817
COG3339	45.0	455582.0	61.0	4292445.0	9.877475405086241e-05	1.4211014934378892e-05	6.9505770352762966
COG0278	45.0	455582.0	3193.0	4292445.0	9.877475405086241e-05	0.0007438650932044558	0.13278584376819733
COG5455	45.0	455582.0	1.0	4292445.0	9.877475405086241e-05	2.3296745794063757e-07	423.9851991518541
COG0239	45.0	455582.0	0.0	4292445.0	9.877475405086241e-05	0.0	inf
COG0316	45.0	455582.0	3593.0	4292445.0	9.877475405086241e-05	0.0008370520763807108	0.11800311693622435
COG3831	44.0	455582.0	2233.0	4292445.0	9.65797595163988e-05	0.0005202163335814437	0.18565307023617036
COG2747	44.0	455582.0	4599.0	4292445.0	9.65797595163988e-05	0.0010714173390689921	0.09014205388940388
COG3062	42.0	455582.0	1569.0	4292445.0	9.218977044747159e-05	0.00036552594150886036	0.2522112933131913
COG2359	41.0	455582.0	4335.0	4292445.0	8.999477591300798e-05	0.0010099139301726638	0.08911133238613876
COG3080	41.0	455582.0	0.0	4292445.0	8.999477591300798e-05	0.0	inf
COG2383	41.0	455582.0	1.0	4292445.0	8.999477591300798e-05	2.3296745794063757e-07	386.2976258939115
COG4828	39.0	455582.0	16.0	4292445.0	8.560478684408075e-05	3.727479327050201e-06	22.965864954058762
COG1872	39.0	455582.0	12683.0	4292445.0	8.560478684408075e-05	0.0029547262690611063	0.028972154794996468
COG3360	39.0	455582.0	35705.0	4292445.0	8.560478684408075e-05	0.008318103085770464	0.010291383259065683
COG2879	37.0	455582.0	2883.0	4292445.0	8.121479777515354e-05	0.0006716451812428581	0.12091919966561532
COG1942	37.0	455582.0	21086.0	4292445.0	8.121479777515354e-05	0.004912351818136283	0.01653277305491648
COG0838	37.0	455582.0	0.0	4292445.0	8.121479777515354e-05	0.0	inf
COG3245	37.0	455582.0	7.0	4292445.0	8.121479777515354e-05	1.6307722055844629e-06	49.801436090852704
COG2350	36.0	455582.0	18124.0	4292445.0	7.901980324068993e-05	0.004222302207716115	0.01871486202391764
COG3024	36.0	455582.0	11670.0	4292445.0	7.901980324068993e-05	0.0027187302341672402	0.0290649665228349
COG2832	35.0	455582.0	3.0	4292445.0	7.682480870622632e-05	6.989023738219127e-07	109.9220886689992
COG0607	35.0	455582.0	9987.0	4292445.0	7.682480870622632e-05	0.0023266460024531474	0.03301955201832358
COG4256	34.0	455582.0	2648.0	4292445.0	7.462981417176272e-05	0.0006168978286268083	0.12097597156061632
COG1873	33.0	455582.0	7739.0	4292445.0	7.24348196372991e-05	0.0018029351570025942	0.040176053673346215
COG3123	33.0	455582.0	2178.0	4292445.0	7.24348196372991e-05	0.0005074031233947086	0.1427559593103886
COG5467	33.0	455582.0	187.0	4292445.0	7.24348196372991e-05	4.356491463489922e-05	1.662687055497467
COG0393	33.0	455582.0	1622.0	4292445.0	7.24348196372991e-05	0.0003778732167797141	0.19169080109619382
COG4519	30.0	455582.0	227.0	4292445.0	6.584983603390828e-05	5.2883612952524723e-05	1.2451841384782796
COG4839	29.0	455582.0	0.0	4292445.0	6.365484149944467e-05	0.0	inf
COG3313	27.0	455582.0	2409.0	4292445.0	5.926485243051745e-05	0.0005612186061789959	0.10560029866795867
COG2168	27.0	455582.0	2615.0	4292445.0	5.926485243051745e-05	0.0006092099025147672	0.09728149884937379
COG5004	27.0	455582.0	2230.0	4292445.0	5.926485243051745e-05	0.0005195174312076217	0.11407673519780828
COG0828	26.0	455582.0	27640.0	4292445.0	5.706985789605384e-05	0.006439220537479222	0.008862851887721665
COG2149	26.0	455582.0	0.0	4292445.0	5.706985789605384e-05	0.0	inf
COG2161	26.0	455582.0	34391.0	4292445.0	5.706985789605384e-05	0.008011983846036467	0.007123062027176494
COG0089	26.0	455582.0	41079.0	4292445.0	5.706985789605384e-05	0.00957007020474345	0.005963368781533797
COG3784	25.0	455582.0	128.0	4292445.0	5.487486336159023e-05	2.981983461640161e-05	1.8402135379854778
COG0694	25.0	455582.0	14665.0	4292445.0	5.487486336159023e-05	0.00341646777069945	0.016061870634990875
COG1558	24.0	455582.0	94.0	4292445.0	5.267986882712662e-05	2.189894104641993e-05	2.4055897824218673
COG4545	24.0	455582.0	8528.0	4292445.0	5.267986882712662e-05	0.001986746481317757	0.026515647226507448
COG0291	24.0	455582.0	43792.0	4292445.0	5.267986882712662e-05	0.0102021109181364	0.0051636243959548665
COG3377	23.0	455582.0	383.0	4292445.0	5.048487429266301e-05	8.922653639126419e-05	0.565805603741958
COG4274	23.0	455582.0	13556.0	4292445.0	5.048487429266301e-05	0.003158106859843283	0.01598580305644511
COG5272	21.0	455582.0	2393.0	4292445.0	4.6094885223735795e-05	0.0005574911268519456	0.08268272444805626
COG2388	21.0	455582.0	13632.0	4292445.0	4.6094885223735795e-05	0.003175812386646771	0.014514360299603771
COG2257	21.0	455582.0	7280.0	4292445.0	4.6094885223735795e-05	0.0016960030938078414	0.027178538407170136
COG5605	21.0	455582.0	0.0	4292445.0	4.6094885223735795e-05	0.0	inf
COG3136	21.0	455582.0	0.0	4292445.0	4.6094885223735795e-05	0.0	inf
COG5544	20.0	455582.0	42.0	4292445.0	4.389989068927218e-05	9.784633233506778e-06	4.486615864040784
COG0185	20.0	455582.0	29476.0	4292445.0	4.389989068927218e-05	0.0068669487902582324	0.006392925304984155
COG1582	20.0	455582.0	9332.0	4292445.0	4.389989068927218e-05	0.0021740523175020295	0.020192656053334007
COG3895	19.0	455582.0	27.0	4292445.0	4.1704896154808576e-05	6.2901213643972145e-06	6.630221221304715
COG0186	19.0	455582.0	47161.0	4292445.0	4.1704896154808576e-05	0.010986978283938409	0.0037958476914235766
COG1445	18.0	455582.0	31.0	4292445.0	3.9509901620344964e-05	7.221991196159764e-06	5.470776763249731
COG4481	18.0	455582.0	12828.0	4292445.0	3.9509901620344964e-05	0.0029885065504624986	0.01322061737299202
COG3870	18.0	455582.0	1616.0	4292445.0	3.9509901620344964e-05	0.0003764754120320703	0.10494683147323122
COG3609	18.0	455582.0	21041.0	4292445.0	3.9509901620344964e-05	0.004901868282528955	0.008060172028931212
COG5606	17.0	455582.0	4260.0	4292445.0	3.731490708588136e-05	0.000992441370827116	0.037599104776116436
COG0727	17.0	455582.0	65.0	4292445.0	3.731490708588136e-05	1.5142884766141441e-05	2.4641874822500927
COG3809	16.0	455582.0	3064.0	4292445.0	3.5119912551417746e-05	0.0007138122911301135	0.049200487281909386
COG4877	16.0	455582.0	9421.0	4292445.0	3.5119912551417746e-05	0.0021947864212587464	0.01600151714592616
COG3815	15.0	455582.0	0.0	4292445.0	3.292491801695414e-05	0.0	inf
COG3592	15.0	455582.0	2909.0	4292445.0	3.292491801695414e-05	0.0006777023351493146	0.04858315562642995
COG0222	15.0	455582.0	43.0	4292445.0	3.292491801695414e-05	1.0017600691447415e-05	3.286706970169412
COG3323	15.0	455582.0	197.0	4292445.0	3.292491801695414e-05	4.58945892143056e-05	0.7174030442501762
COG1837	14.0	455582.0	33694.0	4292445.0	3.072992348249053e-05	0.007849605527851841	0.00391483665942895
COG2965	14.0	455582.0	1225.0	4292445.0	3.072992348249053e-05	0.000285385135977281	0.10767878073697883
COG1393	14.0	455582.0	2856.0	4292445.0	3.072992348249053e-05	0.0006653550598784609	0.04618575154159631
COG1358	14.0	455582.0	866.0	4292445.0	3.072992348249053e-05	0.00020174981857659213	0.15231698198937535
