Domain,Phylum,Helix
d__Bacteria,p__Firmicutes_A,0.28041074
d__Bacteria,p__Firmicutes_B,0.277982011
d__Bacteria,p__Firmicutes_C,0.280075172
d__Bacteria,p__Firmicutes_D,0.278754162
d__Bacteria,p__Firmicutes_E,0.289523306
d__Bacteria,p__Firmicutes_F,0.271421881
d__Bacteria,p__Firmicutes_G,0.283003773
d__Bacteria,p__Fusobacteria,0.261207955
d__Bacteria,p__Fusobacteriota,0.260691696
d__Bacteria,p__GCA-001730085,0.25995024
d__Bacteria,p__Gemmatimonadetes,0.353526573
d__Bacteria,p__Gemmatimonadota,0.296778525
d__Bacteria,p__Gemmatimonadota_A,0.289850622
d__Bacteria,p__Goldbacteria,0.258591522
d__Bacteria,p__Hydrogenedentota,0.281887857
d__Bacteria,p__Ignavibacteriae,0.325300881
d__Bacteria,p__J088,0.285462002
d__Bacteria,p__KSB1,0.271729711
d__Bacteria,p__Kiritimatiellaeota,0.310681818
d__Bacteria,p__Krumholzibacteriota,0.284872003
d__Bacteria,p__Latescibacterota,0.281294619
d__Bacteria,p__Lentisphaerae,0.245099594
d__Bacteria,p__Lindowbacteria,0.278022088
d__Bacteria,p__Margulisbacteria,0.259977066
d__Bacteria,p__Marinisomatota,0.255024902
d__Bacteria,p__Methylomirabilota,0.303049724
d__Bacteria,p__Moduliflexota,0.274212428
d__Bacteria,p__Muirbacteria,0.249235524
d__Bacteria,p__Myxococcota,0.298085249
d__Bacteria,p__Myxococcota_A,0.300108667
d__Bacteria,p__Myxococcota_B,0.278687091
d__Bacteria,p__NPL-UPA2,0.270274207
d__Bacteria,p__Nitrospinae,0.293333333
d__Bacteria,p__Nitrospinota,0.262773245
d__Bacteria,p__Nitrospinota_A,0.288596301
d__Bacteria,p__Nitrospinota_B,0.272375386
d__Bacteria,p__Nitrospirae,0.283302494
d__Bacteria,p__Nitrospirota,0.279161504
d__Bacteria,p__OLB16,0.271304679
d__Bacteria,p__Omnitrophota,0.267622739
d__Bacteria,p__Patescibacteria,0.267135163
d__Bacteria,p__Planctomycetes,0.294854733
d__Bacteria,p__Planctomycetota,0.284766942
d__Bacteria,p__Poribacteria,0.269151652
d__Bacteria,p__Proteobacteria,0.294488255
d__Bacteria,p__RBG-13-66-14,0.27974759
d__Bacteria,p__RUG730,0.236823601
d__Bacteria,p__Riflebacteria,0.274527245
d__Bacteria,p__SAR324,0.274756311
d__Bacteria,p__SLNR01,0.274326441
d__Bacteria,p__SM23-31,0.258495253
d__Bacteria,p__SURF-8,0.282745164
d__Bacteria,p__SZUA-182,0.271796024
d__Bacteria,p__SZUA-79,0.262432303
d__Bacteria,p__Schekmanbacteria,0.267135596
d__Bacteria,p__Spirochaetes,0.253661163
d__Bacteria,p__Spirochaetota,0.276728888
d__Bacteria,p__Sumerlaeota,0.281345268
d__Bacteria,p__Synergistetes,0.281830948
d__Bacteria,p__Synergistota,0.291028237
d__Bacteria,p__T1SED10-198M,0.264305808
d__Bacteria,p__TA06,0.277419801
d__Bacteria,p__TA06_A,0.275863322
d__Bacteria,p__Tectomicrobia,0.291773796
d__Bacteria,p__Tenericutes,0.237620558
d__Bacteria,p__Thermodesulfobacteria,0.291727704
d__Bacteria,p__Thermodesulfobiota,0.254799217
d__Bacteria,p__Thermosulfidibacterota,0.28463824
d__Bacteria,p__Thermotogae,0.26213611
d__Bacteria,p__Thermotogota,0.265720135
d__Bacteria,p__UBA10199,0.271158155
d__Bacteria,p__UBA2233,0.296063119
d__Bacteria,p__UBA3054,0.278133461
d__Bacteria,p__UBA6262,0.266615581
d__Bacteria,p__UBA9089,0.270989991
d__Bacteria,p__UBP13,0.278956346
d__Bacteria,p__UBP14,0.268160549
d__Bacteria,p__UBP15,0.279485576
d__Bacteria,p__UBP17,0.267030956
d__Bacteria,p__UBP18,0.274725329
d__Bacteria,p__UBP4,0.26601345
d__Bacteria,p__UBP6,0.265205406
d__Bacteria,p__UBP7,0.257445656
d__Bacteria,p__UBP7_A,0.294216547
d__Bacteria,p__Verrucomicrobia,0.294933761
d__Bacteria,p__Verrucomicrobiota,0.284990775
d__Bacteria,p__Verrucomicrobiota_A,0.276409303
d__Bacteria,p__WOR-3,0.271983765
d__Bacteria,p__Wallbacteria,0.26601133
d__Bacteria,p__Zixibacteria,0.264858994
