Tool,Length,identity,e-value,Sensitivity,Rescue,Identity
MMseqs,60,0.2,0.01,5.7,0,0.9
MMseqs,60,0.1,0.01,5.7,0,1
Diamond,40,1,0.01,sensitive,9968,0.1
Diamond,40,0.9,0.01,sensitive,9661,0.2
Diamond,40,0.8,0.01,sensitive,9665,0.3
Diamond,40,0.7,0.01,sensitive,9701,0.4
Diamond,40,0.6,0.01,sensitive,9302,0.5
Diamond,40,0.5,0.01,sensitive,3599,0.6
Diamond,40,0.4,0.01,sensitive,76,0.7
Diamond,40,0.3,0.01,sensitive,0,0.8
Diamond,40,0.2,0.01,sensitive,0,0.9
Diamond,40,0.1,0.01,sensitive,0,1
MMseqs,40,1,0.01,5.7,9985,0.1
MMseqs,40,0.9,0.01,5.7,9982,0.2
MMseqs,40,0.8,0.01,5.7,9970,0.3
MMseqs,40,0.7,0.01,5.7,9943,0.4
MMseqs,40,0.6,0.01,5.7,8978,0.5
MMseqs,40,0.5,0.01,5.7,1835,0.6
MMseqs,40,0.4,0.01,5.7,17,0.7
MMseqs,40,0.3,0.01,5.7,0,0.8
MMseqs,40,0.2,0.01,5.7,0,0.9
MMseqs,40,0.1,0.01,5.7,0,1
Diamond,30,1,0.01,sensitive,9858,0.1
Diamond,30,0.9,0.01,sensitive,9528,0.2
Diamond,30,0.8,0.01,sensitive,9480,0.3
Diamond,30,0.7,0.01,sensitive,8653,0.4
Diamond,30,0.6,0.01,sensitive,3140,0.5
Diamond,30,0.5,0.01,sensitive,106,0.6
Diamond,30,0.4,0.01,sensitive,0,0.7
Diamond,30,0.3,0.01,sensitive,0,0.8
Diamond,30,0.2,0.01,sensitive,0,0.9
Diamond,30,0.1,0.01,sensitive,0,1
MMseqs,30,1,0.01,5.7,9904,0.1
MMseqs,30,0.9,0.01,5.7,9885,0.2
MMseqs,30,0.8,0.01,5.7,9755,0.3
MMseqs,30,0.7,0.01,5.7,7661,0.4
MMseqs,30,0.6,0.01,5.7,1360,0.5
MMseqs,30,0.5,0.01,5.7,21,0.6
MMseqs,30,0.4,0.01,5.7,0,0.7
MMseqs,30,0.3,0.01,5.7,0,0.8
MMseqs,30,0.2,0.01,5.7,0,0.9
MMseqs,30,0.1,0.01,5.7,0,1
Diamond,20,1,0.01,sensitive,9265,0.1
Diamond,20,0.9,0.01,sensitive,7301,0.2
Diamond,20,0.8,0.01,sensitive,2320,0.3
Diamond,20,0.7,0.01,sensitive,146,0.4
Diamond,20,0.6,0.01,sensitive,4,0.5
Diamond,20,0.5,0.01,sensitive,0,0.6
Diamond,20,0.4,0.01,sensitive,0,0.7
Diamond,20,0.3,0.01,sensitive,0,0.8
Diamond,20,0.2,0.01,sensitive,0,0.9
Diamond,20,0.1,0.01,sensitive,0,1
MMseqs,20,1,0.01,5.7,8677,0.1
MMseqs,20,0.9,0.01,5.7,5036,0.2
MMseqs,20,0.8,0.01,5.7,610,0.3
MMseqs,20,0.7,0.01,5.7,14,0.4
MMseqs,20,0.6,0.01,5.7,0,0.5
MMseqs,20,0.5,0.01,5.7,0,0.6
MMseqs,20,0.4,0.01,5.7,0,0.7
MMseqs,20,0.3,0.01,5.7,0,0.8
MMseqs,20,0.2,0.01,5.7,0,0.9
MMseqs,20,0.1,0.01,5.7,0,1
Blast,80,1,0.01,,9998,0.1
Blast,80,0.9,0.01,,9984,0.2
Blast,80,0.8,0.01,,9975,0.3
Blast,80,0.7,0.01,,9964,0.4
Blast,80,0.6,0.01,,9947,0.5
Blast,80,0.5,0.01,,9883,0.6
Blast,80,0.4,0.01,,9133,0.7
Blast,80,0.3,0.01,,1218,0.8
Blast,80,0.2,0.01,,2,0.9
Blast,80,0.1,0.01,,0,1
Blast,60,1,0.01,,9998,0.1
Blast,60,0.9,0.01,,9979,0.2
Blast,60,0.8,0.01,,9968,0.3
Blast,60,0.7,0.01,,9940,0.4
Blast,60,0.6,0.01,,9875,0.5
Blast,60,0.5,0.01,,9506,0.6
Blast,60,0.4,0.01,,5402,0.7
Blast,60,0.3,0.01,,78,0.8
Blast,60,0.2,0.01,,0,0.9
Blast,60,0.1,0.01,,0,1
Blast,40,1,0.01,,9995,0.1
Blast,40,0.9,0.01,,9853,0.2
Blast,40,0.8,0.01,,9745,0.3
Blast,40,0.7,0.01,,9487,0.4
Blast,40,0.6,0.01,,9142,0.5
Blast,40,0.5,0.01,,4041,0.6
Blast,40,0.4,0.01,,64,0.7
Blast,40,0.3,0.01,,0,0.8
Blast,40,0.2,0.01,,0,0.9
Blast,40,0.1,0.01,,0,1
Blast,30,1,0.01,,9949,0.1
Blast,30,0.9,0.01,,9320,0.2
Blast,30,0.8,0.01,,9216,0.3
Blast,30,0.7,0.01,,8809,0.4
Blast,30,0.6,0.01,,2686,0.5
Blast,30,0.5,0.01,,45,0.6
Blast,30,0.4,0.01,,0,0.7
Blast,30,0.3,0.01,,0,0.8
Blast,30,0.2,0.01,,0,0.9
Blast,30,0.1,0.01,,0,1
Blast,20,1,0.01,,9604,0.1
Blast,20,0.9,0.01,,6854,0.2
Blast,20,0.8,0.01,,610,0.3
Blast,20,0.7,0.01,,5,0.4
Blast,20,0.6,0.01,,0,0.5
Blast,20,0.5,0.01,,0,0.6
Blast,20,0.4,0.01,,0,0.7
Blast,20,0.3,0.01,,0,0.8
Blast,20,0.2,0.01,,0,0.9
Blast,20,0.1,0.01,,0,1
Diamond,80,1,0.001,sensitive,9989,0.1
Diamond,80,0.9,0.001,sensitive,9980,0.2
Diamond,80,0.8,0.001,sensitive,9966,0.3
Diamond,80,0.7,0.001,sensitive,9957,0.4
Diamond,80,0.6,0.001,sensitive,9928,0.5
