Tool,Length,identity,e-value,Sensitivity,Rescue,Identity
MMseqs,20,0.1,0.0001,5.7,0,1
Blast,80,1,0.0001,,9998,0.1
Blast,80,0.9,0.0001,,9979,0.2
Blast,80,0.8,0.0001,,9969,0.3
Blast,80,0.7,0.0001,,9956,0.4
Blast,80,0.6,0.0001,,9931,0.5
Blast,80,0.5,0.0001,,9776,0.6
Blast,80,0.4,0.0001,,8020,0.7
Blast,80,0.3,0.0001,,305,0.8
Blast,80,0.2,0.0001,,0,0.9
Blast,80,0.1,0.0001,,0,1
Blast,60,1,0.0001,,9998,0.1
Blast,60,0.9,0.0001,,9966,0.2
Blast,60,0.8,0.0001,,9943,0.3
Blast,60,0.7,0.0001,,9909,0.4
Blast,60,0.6,0.0001,,9761,0.5
Blast,60,0.5,0.0001,,9072,0.6
Blast,60,0.4,0.0001,,2091,0.7
Blast,60,0.3,0.0001,,5,0.8
Blast,60,0.2,0.0001,,0,0.9
Blast,60,0.1,0.0001,,0,1
Blast,40,1,0.0001,,9994,0.1
Blast,40,0.9,0.0001,,9759,0.2
Blast,40,0.8,0.0001,,9542,0.3
Blast,40,0.7,0.0001,,9244,0.4
Blast,40,0.6,0.0001,,7733,0.5
Blast,40,0.5,0.0001,,597,0.6
Blast,40,0.4,0.0001,,1,0.7
Blast,40,0.3,0.0001,,0,0.8
Blast,40,0.2,0.0001,,0,0.9
Blast,40,0.1,0.0001,,0,1
Blast,30,1,0.0001,,9938,0.1
Blast,30,0.9,0.0001,,9210,0.2
Blast,30,0.8,0.0001,,9054,0.3
Blast,30,0.7,0.0001,,4492,0.4
Blast,30,0.6,0.0001,,117,0.5
Blast,30,0.5,0.0001,,0,0.6
Blast,30,0.4,0.0001,,0,0.7
Blast,30,0.3,0.0001,,0,0.8
Blast,30,0.2,0.0001,,0,0.9
Blast,30,0.1,0.0001,,0,1
Blast,20,1,0.0001,,5541,0.1
Blast,20,0.9,0.0001,,155,0.2
Blast,20,0.8,0.0001,,1,0.3
Blast,20,0.7,0.0001,,0,0.4
Blast,20,0.6,0.0001,,0,0.5
Blast,20,0.5,0.0001,,0,0.6
Blast,20,0.4,0.0001,,0,0.7
Blast,20,0.3,0.0001,,0,0.8
Blast,20,0.2,0.0001,,0,0.9
Blast,20,0.1,0.0001,,0,1
